kprobe_loader-481038 [043] b..11 329560.394840: bpf_trace_printk: 329557173565304 → 差值：0 us
<...>-480879 [007] d.Z11 329560.397778: bpf_trace_printk: cpu: 7, task: [iperf3], ktime_ns: 329557176505420, check time: 0 us → 差值：2940 us
iperf3-480990 [040] d.Z11 329560.397781: bpf_trace_printk: cpu: 40, task: [iperf3], ktime_ns: 329557176507817, check time: 0 us → 差值：2942 us
iperf3-480909 [017] d.Z11 329560.397782: bpf_trace_printk: cpu: 17, task: [iperf3], ktime_ns: 329557176506070, check time: 0 us → 差值：2941 us
iperf3-480910 [039] d.Z11 329560.397788: bpf_trace_printk: cpu: 39, task: [iperf3], ktime_ns: 329557176514938, check time: 0 us → 差值：2950 us
iperf3-481001 [031] d.Z11 329560.397790: bpf_trace_printk: cpu: 31, task: [iperf3], ktime_ns: 329557176515423, check time: 0 us → 差值：2950 us
iperf3-480899 [041] d.Z11 329560.397793: bpf_trace_printk: cpu: 41, task: [iperf3], ktime_ns: 329557176520333, check time: 0 us → 差值：2955 us
iperf3-480926 [046] d.Z11 329560.397795: bpf_trace_printk: cpu: 46, task: [iperf3], ktime_ns: 329557176522125, check time: 0 us → 差值：2957 us
iperf3-480986 [048] d.Z11 329560.397796: bpf_trace_printk: cpu: 48, task: [iperf3], ktime_ns: 329557176522844, check time: 0 us → 差值：2958 us
iperf3-480951 [026] d.Z11 329560.397797: bpf_trace_printk: cpu: 26, task: [iperf3], ktime_ns: 329557176523598, check time: 0 us → 差值：2958 us
<...>-480897 [018] d.Z11 329560.397806: bpf_trace_printk: cpu: 18, task: [iperf3], ktime_ns: 329557176533526, check time: 0 us → 差值：2968 us
iperf3-480908 [024] d.Z11 329560.397808: bpf_trace_printk: cpu: 24, task: [iperf3], ktime_ns: 329557176534846, check time: 0 us → 差值：2969 us
iperf3-480971 [051] d.Z11 329560.397810: bpf_trace_printk: cpu: 51, task: [iperf3], ktime_ns: 329557176537022, check time: 0 us → 差值：2972 us
iperf3-480960 [016] d.Z11 329560.397822: bpf_trace_printk: cpu: 16, task: [iperf3], ktime_ns: 329557176548516, check time: 0 us → 差值：2983 us
iperf3-480959 [048] d.Z11 329560.397822: bpf_trace_printk: cpu: 48, task: [iperf3], ktime_ns: 329557176548733, check time: 0 us → 差值：2983 us
iperf3-480914 [017] d.Z11 329560.397824: bpf_trace_printk: cpu: 17, task: [iperf3], ktime_ns: 329557176550826, check time: 1 us → 差值：2985 us
iperf3-480964 [051] d.Z11 329560.397831: bpf_trace_printk: cpu: 51, task: [iperf3], ktime_ns: 329557176557911, check time: 0 us → 差值：2993 us
iperf3-481003 [037] d.Z11 329560.397925: bpf_trace_printk: cpu: 37, task: [iperf3], ktime_ns: 329557176651960, check time: 0 us → 差值：3087 us
